conflict_id,dyad_id,location_inc,side_a,side_a_id,side_a_2nd,side_b,side_b_id,side_b_2nd,incompatibility,territory_name,year,bd_best,bd_low,bd_high,type_of_conflict,battle_location,gwno_a,gwno_a_2nd,gwno_b,gwno_b_2nd,gwno_loc,gwno_battle,region,version
11346,"10885, 11980",Libya,Government of Libya,111,Government of Zimbabwe (Rhodesia),"Forces of Muammar Gaddafi, NTC","1126, 1127",,2,,2011,3762,3722,6285,4,Libya,620,552,,,620,620,4,24.1
11346,15539,Libya,Government of Libya,111,,ASL,7046,,2,,2013,31,17,61,3,Libya,620,,,,620,620,4,24.1
11346,"14249, 14059",Libya,Government of Libya,111,,"Forces of the House of Representatives, Zintan Military Council","5802, 5940",,2,,2014,274,274,274,3,Libya,620,,,,620,620,4,24.1
11346,14059,Libya,Government of Libya,111,,Forces of the House of Representatives,5802,,2,,2015,156,156,190,3,Libya,620,,,,620,620,4,24.1
11347,"11986, 12575",Mali,Government of Mali,72,"Government of Burkina Faso, Government of Portugal, Government of Italy, Government of Indonesia, Government of United Kingdom, Government of Togo, Government of Norway, Government of Austria, Government of Egypt, Government of Madagascar, Government of Armenia, Government of Guinea, Government of Burundi, Government of Czech Republic, Government of El Salvador, Government of Netherlands, Government of China, Government of Kenya, Government of Benin, Government of Hungary, Government of Romania, Government of Mauritania, Government of Denmark, Government of Sweden, Government of Finland, Government of Chad, Government of Bhutan, Government of Nepal, Government of Bangladesh, Government of Congo, Government of Nigeria, Government of Cameroon, Government of Sierra Leone, Government of Jordan, Government of Liberia, Government of Tunisia, Government of Gambia, Government of Estonia, Government of Senegal, Government of Yemen (North Yemen), Government of Niger, Government of Lithuania, Government of Turkey, Government of Ethiopia, Government of Cambodia (Kampuchea), Government of United States of America, Government of Switzerland, Government of Germany, Government of France, Government of Ivory Coast, Government of Ghana, Government of Belgium, Government of Guinea-Bissau","AQIM, Ansar Dine","539, 1157",,2,,2016,97,97,112,4,Mali,432,"420, 760, 475, 678, 484, 436, 433, 325, 211, 390, 437, 580, 360, 771, 210, 404, 651, 471, 2, 366, 516, 316, 434, 850, 452, 663, 790, 451, 371, 811, 385, 710, 260, 530, 501, 380, 483, 368, 225, 640, 235, 220, 461, 375, 310, 438, 439, 305, 92, 435, 616, 450, 200",,,432,432,4,24.1
11347,"12575, 15108",Mali,Government of Mali,72,"Government of Burkina Faso, Government of Portugal, Government of Italy, Government of Indonesia, Government of United Kingdom, Government of Togo, Government of Sri Lanka, Government of Norway, Government of Austria, Government of Egypt, Government of Armenia, Government of Guinea, Government of Burundi, Government of Czech Republic, Government of El Salvador, Government of Netherlands, Government of China, Government of Kenya, Government of Benin, Government of Hungary, Government of Romania, Government of Mauritania, Government of Denmark, Government of Sweden, Government of Latvia, Government of Finland, Government of Chad, Government of Bhutan, Government of Nepal, Government of Bangladesh, Government of Bosnia-Herzegovina, Government of Nigeria, Government of Cameroon, Government of Sierra Leone, Government of Jordan, Government of Liberia, Government of Tunisia, Government of Gambia, Government of Estonia, Government of Senegal, Government of Yemen (North Yemen), Government of Niger, Government of Lithuania, Government of Ethiopia, Government of Cambodia (Kampuchea), Government of United States of America, Government of Switzerland, Government of Germany, Government of France, Government of Ivory Coast, Government of Ghana, Government of Belgium, Government of Guinea-Bissau","AQIM, JNIM","539, 6716",,2,,2017,312,303,414,4,Mali,432,"420, 760, 475, 678, 436, 433, 325, 211, 390, 437, 346, 360, 771, 210, 404, 651, 471, 2, 366, 516, 316, 434, 850, 452, 663, 790, 451, 371, 811, 385, 710, 367, 260, 530, 501, 380, 483, 368, 225, 235, 220, 461, 375, 310, 438, 439, 305, 92, 780, 435, 616, 450, 200",,,432,432,4,24.1
11347,15108,Mali,Government of Mali,72,"Government of Burkina Faso, Government of Portugal, Government of Italy, Government of Mexico, Government of Indonesia, Government of United Kingdom, Government of Canada, Government of Togo, Government of Sri Lanka, Government of Norway, Government of Austria, Government of Egypt, Government of Madagascar, Government of Armenia, Government of Spain, Government of Guinea, Government of Burundi, Government of Czech Republic, Government of El Salvador, Government of Netherlands, Government of China, Government of Kenya, Government of Benin, Government of Guatemala, Government of Hungary, Government of Romania, Government of Mauritania, Government of Denmark, Government of New Zealand, Government of Sweden, Government of Latvia, Government of Finland, Government of Chad, Government of Bhutan, Government of Nepal, Government of Bangladesh, Government of Bosnia-Herzegovina, Government of Nigeria, Government of Cameroon, Government of Sierra Leone, Government of Jordan, Government of Liberia, Government of Tunisia, Government of Gambia, Government of Estonia, Government of Senegal, Government of Niger, Government of Lithuania, Government of Turkey, Government of Ethiopia, Government of Cambodia (Kampuchea), Government of United States of America, Government of Switzerland, Government of Germany, Government of France, Government of Ivory Coast, Government of Ghana, Government of Pakistan, Government of Belgium",JNIM,6716,,2,,2018,402,375,435,4,Mali,432,"420, 760, 200, 475, 436, 433, 325, 211, 390, 437, 346, 580, 360, 771, 210, 651, 471, 2, 366, 516, 316, 434, 850, 230, 452, 663, 790, 451, 371, 811, 385, 710, 367, 90, 260, 530, 501, 380, 483, 368, 225, 20, 640, 235, 220, 461, 375, 70, 310, 438, 439, 305, 92, 780, 435, 616, 920, 450, 770",,,432,432,4,24.1
11347,15108,Mali,Government of Mali,72,"Government of Burkina Faso, Government of Portugal, Government of Italy, Government of Mexico, Government of Indonesia, Government of United Kingdom, Government of Canada, Government of Togo, Government of Sri Lanka, Government of Norway, Government of Austria, Government of Egypt, Government of Madagascar, Government of Armenia, Government of Spain, Government of Guinea, Government of Burundi, Government of Czech Republic, Government of El Salvador, Government of Netherlands, Government of China, Government of Ukraine, Government of Kenya, Government of Benin, Government of Guatemala, Government of Romania, Government of Mauritania, Government of Denmark, Government of Sweden, Government of Ireland, Government of Latvia, Government of Finland, Government of Chad, Government of Bhutan, Government of Nepal, Government of Bangladesh, Government of Bosnia-Herzegovina, Government of Nigeria, Government of Cameroon, Government of Sierra Leone, Government of Jordan, Government of Liberia, Government of Tunisia, Government of Gambia, Government of Estonia, Government of Senegal, Government of Niger, Government of Lithuania, Government of Turkey, Government of Ethiopia, Government of Cambodia (Kampuchea), Government of United States of America, Government of Switzerland, Government of Germany, Government of France, Government of Ivory Coast, Government of Ghana, Government of Pakistan, Government of Belgium",JNIM,6716,,2,,2019,422,421,566,4,Mali,432,"420, 760, 200, 475, 436, 433, 325, 211, 390, 437, 346, 580, 360, 771, 210, 651, 471, 2, 366, 516, 316, 434, 850, 230, 452, 663, 790, 205, 451, 371, 811, 385, 710, 367, 90, 260, 530, 501, 380, 483, 368, 225, 20, 640, 235, 220, 461, 375, 70, 438, 439, 369, 305, 92, 780, 435, 616, 450, 770",,,432,432,4,24.1
11347,15108,Mali,Government of Mali,72,"Government of Burkina Faso, Government of Portugal, Government of Italy, Government of Mexico, Government of Indonesia, Government of United Kingdom, Government of Canada, Government of Zambia, Government of Togo, Government of Sri Lanka, Government of Norway, Government of Austria, Government of Egypt, Government of Madagascar, Government of Armenia, Government of Spain, Government of Guinea, Government of Burundi, Government of Czech Republic, Government of El Salvador, Government of Netherlands, Government of China, Government of Ukraine, Government of Kenya, Government of Benin, Government of Guatemala, Government of Romania, Government of Mauritania, Government of Denmark, Government of Sweden, Government of Ireland, Government of Latvia, Government of Finland, Government of Chad, Government of Bhutan, Government of Nepal, Government of Bangladesh, Government of Bosnia-Herzegovina, Government of Nigeria, Government of Cameroon, Government of Sierra Leone, Government of Jordan, Government of Liberia, Government of Tunisia, Government of Gambia, Government of Estonia, Government of Senegal, Government of Niger, Government of Lithuania, Government of Ethiopia, Government of Iran, Government of Cambodia (Kampuchea), Government of United States of America, Government of Switzerland, Government of Germany, Government of France, Government of Australia, Government of Ghana, Government of Ivory Coast, Government of Belgium, Government of Pakistan",JNIM,6716,,2,,2020,517,498,650,4,Mali,432,"420, 760, 200, 475, 436, 433, 325, 211, 390, 437, 346, 580, 360, 771, 210, 651, 900, 471, 2, 366, 516, 316, 434, 850, 230, 452, 663, 790, 205, 451, 371, 811, 385, 710, 367, 90, 260, 530, 501, 380, 483, 368, 225, 630, 20, 235, 220, 461, 375, 70, 438, 439, 369, 305, 92, 780, 435, 616, 450, 770, 551",,,432,432,4,24.1
11347,15108,Mali,Government of Mali,72,"Government of Burkina Faso, Government of Portugal, Government of Italy, Government of Mexico, Government of Indonesia, Government of United Kingdom, Government of Canada, Government of Zambia, Government of Togo, Government of Sri Lanka, Government of Norway, Government of Austria, Government of Egypt, Government of Armenia, Government of Spain, Government of Guinea, Government of Burundi, Government of Czech Republic, Government of El Salvador, Government of Netherlands, Government of China, Government of Ukraine, Government of Kenya, Government of Benin, Government of Guatemala, Government of Romania, Government of Mauritania, Government of Denmark, Government of Sweden, Government of Ireland, Government of Latvia, Government of Finland, Government of Chad, Government of Bhutan, Government of Nepal, Government of Bangladesh, Government of Bosnia-Herzegovina, Government of Nigeria, Government of Cameroon, Government of Sierra Leone, Government of Jordan, Government of Liberia, Government of Tunisia, Government of Gambia, Government of Estonia, Government of Senegal, Government of Niger, Government of Greece, Government of Lithuania, Government of Luxembourg, Government of Turkey, Government of Ethiopia, Government of Iran, Government of Cambodia (Kampuchea), Government of United States of America, Government of Switzerland, Government of Germany, Government of France, Government of Australia, Government of Ghana, Government of Ivory Coast, Government of Belgium, Government of Pakistan",JNIM,6716,,2,,2021,616,578,660,4,Mali,432,"420, 760, 200, 475, 436, 433, 325, 211, 390, 437, 346, 360, 771, 210, 651, 900, 471, 2, 366, 516, 316, 434, 850, 230, 452, 350, 663, 790, 205, 451, 371, 811, 385, 710, 367, 90, 260, 530, 501, 380, 483, 368, 225, 630, 20, 640, 235, 220, 461, 375, 70, 438, 439, 369, 305, 92, 780, 435, 616, 212, 450, 770, 551",,,432,432,4,24.1
11347,15108,Mali,Government of Mali,72,"Government of Burkina Faso, Government of Portugal, Government of Italy, Government of Mexico, Government of Indonesia, Government of United Kingdom, Government of Canada, Government of Togo, Government of Sri Lanka, Government of Norway, Government of Austria, Government of Egypt, Government of Spain, Government of Guinea, Government of Burundi, Government of Czech Republic, Government of El Salvador, Government of Netherlands, Government of China, Government of Kenya, Government of Benin, Government of Guatemala, Government of Romania, Government of Mauritania, Government of Denmark, Government of Sweden, Government of Latvia, Government of Finland, Government of Chad, Government of Bhutan, Government of Nepal, Government of Bangladesh, Government of Nigeria, Government of Cameroon, Government of Sierra Leone, Government of Jordan, Government of Liberia, Government of Tunisia, Government of Gambia, Government of Estonia, Government of Senegal, Government of Niger, Government of Lithuania, Government of Turkey, Government of Luxembourg, Government of Iran, Government of Cambodia (Kampuchea), Government of United States of America, Government of Switzerland, Government of Germany, Government of France, Government of Australia, Government of Ghana, Government of Ivory Coast, Government of Belgium, Government of Pakistan",JNIM,6716,,2,,2022,1117,1099,1246,4,Mali,432,"420, 760, 200, 475, 436, 433, 325, 211, 390, 437, 360, 771, 210, 651, 900, 471, 2, 366, 516, 316, 434, 850, 230, 452, 663, 790, 451, 811, 385, 710, 367, 90, 260, 501, 380, 225, 483, 368, 630, 20, 640, 235, 220, 461, 375, 70, 438, 439, 305, 92, 780, 435, 616, 212, 450, 770",,,432,432,4,24.1
11347,15108,Mali,Government of Mali,72,"Government of Burkina Faso, Government of Portugal, Government of Italy, Government of Mexico, Government of Indonesia, Government of United Kingdom, Government of Canada, Government of Togo, Government of Sri Lanka, Government of Norway, Government of Austria, Government of Egypt, Government of Spain, Government of Guinea, Government of Burundi, Government of Czech Republic, Government of El Salvador, Government of Netherlands, Government of China, Government of Kenya, Government of Benin, Government of Guatemala, Government of Romania, Government of Mauritania, Government of Denmark, Government of Finland, Government of Chad, Government of Bhutan, Government of Nepal, Government of Bangladesh, Government of Nigeria, Government of Cameroon, Government of Sierra Leone, Government of Jordan, Government of Liberia, Government of Tunisia, Government of Gambia, Government of Estonia, Government of Senegal, Government of Niger, Government of Lithuania, Government of Turkey, Government of Luxembourg, Government of Iran, Government of Cambodia (Kampuchea), Government of United States of America, Government of Switzerland, Government of Germany, Government of France, Government of Australia, Government of Ghana, Government of Ivory Coast, Government of Belgium, Government of Pakistan",JNIM,6716,,2,,2023,913,900,1171,4,Mali,432,"420, 760, 200, 475, 436, 433, 325, 211, 390, 437, 360, 771, 210, 651, 900, 471, 2, 366, 516, 316, 434, 850, 230, 452, 663, 790, 451, 811, 385, 710, 90, 260, 501, 225, 483, 368, 630, 20, 640, 235, 220, 461, 375, 70, 438, 439, 305, 92, 780, 435, 616, 212, 450, 770",,,432,432,4,24.1
11347,12575,Mali,Government of Mali,72,,AQIM,539,,2,,2009,87,54,93,3,Mali,432,,,,432,432,4,24.1
11347,"11986, 11987",Mali,Government of Mali,72,,"Military faction (Red Berets), Ansar Dine","1164, 1157",,2,,2012,87,83,270,3,Mali,432,,,,432,432,4,24.1
11347,"11986, 12571, 12578, 12575",Mali,Government of Mali,72,"Government of Burkina Faso, Government of Italy, Government of United Kingdom, Government of Togo, Government of Norway, Government of Egypt, Government of Guinea, Government of Burundi, Government of China, Government of Benin, Government of Mauritania, Government of Sweden, Government of Finland, Government of Chad, Government of Nepal, Government of Bangladesh, Government of Nigeria, Government of Sierra Leone, Government of Jordan, Government of Liberia, Government of Senegal, Government of Estonia, Government of Yemen (North Yemen), Government of Niger, Government of Tajikistan, Government of Cambodia (Kampuchea), Government of United States of America, Government of Germany, Government of France, Government of Ivory Coast, Government of Ghana, Government of Belgium, Government of Guinea-Bissau, Government of Rwanda","Signed-in-Blood Battalion, AQIM, Ansar Dine, MUJAO","1161, 3481, 539, 1157",,2,,2013,836,836,1004,4,"Mali, Niger",432,"475, 678, 436, 433, 325, 211, 517, 437, 771, 702, 404, 651, 2, 366, 516, 434, 452, 663, 790, 451, 811, 385, 710, 260, 380, 483, 461, 220, 375, 438, 439, 435, 450, 200",,,432,"436, 432",4,24.1
11347,"12575, 12582",Mali,Government of Mali,72,"Government of Burkina Faso, Government of Italy, Government of United Kingdom, Government of Togo, Government of Norway, Government of Egypt, Government of Guinea, Government of Burundi, Government of China, Government of Benin, Government of Mauritania, Government of Sweden, Government of Finland, Government of Chad, Government of Nepal, Government of Bangladesh, Government of Nigeria, Government of Sierra Leone, Government of Jordan, Government of Liberia, Government of Senegal, Government of Estonia, Government of Niger, Government of Tajikistan, Government of Cambodia (Kampuchea), Government of United States of America, Government of Germany, Government of France, Government of Ivory Coast, Government of Ghana, Government of Belgium, Government of Guinea-Bissau, Government of Rwanda","al-Murabitun, AQIM","4376, 539",,2,,2014,95,95,129,4,Mali,432,"475, 436, 433, 325, 211, 517, 437, 771, 702, 404, 651, 2, 366, 516, 434, 452, 663, 790, 451, 811, 385, 710, 260, 380, 483, 461, 220, 375, 438, 439, 435, 450, 200",,,432,432,4,24.1
11347,"11986, 12575",Mali,Government of Mali,72,"Government of Burkina Faso, Government of Portugal, Government of Italy, Government of Indonesia, Government of United Kingdom, Government of Togo, Government of Norway, Government of Austria, Government of Egypt, Government of Madagascar, Government of Armenia, Government of Guinea, Government of Burundi, Government of Czech Republic, Government of El Salvador, Government of Netherlands, Government of China, Government of Kenya, Government of Benin, Government of Djibouti, Government of Romania, Government of Mauritania, Government of Denmark, Government of Sweden, Government of Latvia, Government of Finland, Government of Chad, Government of Bhutan, Government of Nepal, Government of Bangladesh, Government of Bosnia-Herzegovina, Government of Nigeria, Government of Cameroon, Government of Sierra Leone, Government of Jordan, Government of Liberia, Government of Tunisia, Government of Gambia, Government of Estonia, Government of Senegal, Government of Yemen (North Yemen), Government of Niger, Government of Turkey, Government of Cambodia (Kampuchea), Government of United States of America, Government of Switzerland, Government of Germany, Government of France, Government of Ivory Coast, Government of Ghana, Government of Belgium, Government of Guinea-Bissau, Government of DR Congo (Zaire), Government of Rwanda","AQIM, Ansar Dine","539, 1157",,2,,2015,74,72,109,4,Mali,432,"420, 760, 475, 678, 436, 433, 325, 211, 390, 437, 346, 580, 360, 517, 771, 210, 404, 651, 471, 2, 366, 516, 316, 434, 850, 452, 663, 790, 451, 371, 811, 385, 710, 367, 260, 501, 380, 225, 483, 522, 640, 235, 220, 461, 375, 438, 439, 305, 92, 435, 616, 450, 200, 490",,,432,432,4,24.1
11348,11989,"South Sudan, Sudan",Government of South Sudan,113,,Government of Sudan,112,,1,Common border,2012,367,367,1099,2,"South Sudan, Sudan",626,,625,,"626, 625","626, 625",4,24.1
11349,11990,China,Government of China,135,,ETIM,1156,,1,East Turkestan,2008,36,36,39,3,China,710,,,,710,710,3,24.1
11350,"11991, 10985",Bangladesh,Government of Bangladesh,143,,"PBCP-J, PBCP","1165, 805",,2,,2005,62,61,68,3,Bangladesh,771,,,,771,771,3,24.1
11350,11991,Bangladesh,Government of Bangladesh,143,,PBCP-J,1165,,2,,2006,57,57,58,3,Bangladesh,771,,,,771,771,3,24.1
14935,16023,Ethiopia,Government of Ethiopia,97,,Military faction (forces of Asaminew Tsige),7438,,1,Amhara,2019,27,27,27,3,Ethiopia,530,,,,530,530,4,24.1
426,891,Israel,Government of Israel,121,,Hezbollah,366,,1,Southern Lebanon,1990,42,42,45,3,Lebanon,666,,,,666,660,2,24.1
426,891,Israel,Government of Israel,121,,Hezbollah,366,,1,Southern Lebanon,1991,28,28,31,3,Lebanon,666,,,,666,660,2,24.1
426,891,Israel,Government of Israel,121,,Hezbollah,366,,1,Southern Lebanon,1992,87,87,120,3,"Israel, Argentina, Lebanon",666,,,,666,"666, 160, 660",2,24.1
426,891,Israel,Government of Israel,121,,Hezbollah,366,,1,Southern Lebanon,1993,124,124,186,3,"Israel, Lebanon",666,,,,666,"666, 660",2,24.1
426,891,Israel,Government of Israel,121,,Hezbollah,366,,1,Southern Lebanon,1994,82,71,120,3,Lebanon,666,,,,666,660,2,24.1
426,891,Israel,Government of Israel,121,,Hezbollah,366,,1,Southern Lebanon,1995,74,71,85,3,"Israel, Lebanon",666,,,,666,"666, 660",2,24.1
426,891,Israel,Government of Israel,121,,Hezbollah,366,,1,Southern Lebanon,1996,95,93,103,3,"Israel, Lebanon",666,,,,666,"666, 660",2,24.1
426,891,Israel,Government of Israel,121,,Hezbollah,366,,1,Southern Lebanon,1997,82,82,90,3,Lebanon,666,,,,666,660,2,24.1
426,891,Israel,Government of Israel,121,,Hezbollah,366,,1,Southern Lebanon,1998,54,54,56,3,Lebanon,666,,,,666,660,2,24.1
426,891,Israel,Government of Israel,121,,Hezbollah,366,,1,Southern Lebanon,1999,41,41,42,3,Lebanon,666,,,,666,660,2,24.1
426,891,Israel,Government of Israel,121,,Hezbollah,366,,1,Southern Lebanon,2023,139,139,140,3,"Israel, Lebanon",666,,,,666,"666, 660",2,24.1
426,891,Israel,Government of Israel,121,,Hezbollah,366,,1,Southern Lebanon,2006,857,855,1160,3,"Israel, Lebanon",666,,,,666,"666, 660",2,24.1
13936,14319,Pakistan,Government of Pakistan,142,,IS,234,,1,Islamic State,2016,68,68,68,3,Pakistan,770,,,,770,770,3,24.1
13936,14319,Pakistan,Government of Pakistan,142,,IS,234,,1,Islamic State,2017,80,80,81,3,Pakistan,770,,,,770,770,3,24.1
13936,14319,Pakistan,Government of Pakistan,142,,IS,234,,1,Islamic State,2018,51,51,51,3,Pakistan,770,,,,770,770,3,24.1
13936,14319,Pakistan,Government of Pakistan,142,,IS,234,,1,Islamic State,2019,29,29,29,3,Pakistan,770,,,,770,770,3,24.1
13936,14319,Pakistan,Government of Pakistan,142,,IS,234,,1,Islamic State,2021,26,26,26,3,Pakistan,770,,,,770,770,3,24.1
13936,14319,Pakistan,Government of Pakistan,142,,IS,234,,1,Islamic State,2022,29,25,30,3,"Pakistan, Afghanistan",770,,,,770,"700, 770",3,24.1
13936,14319,Pakistan,Government of Pakistan,142,,IS,234,,1,Islamic State,2023,86,85,86,3,Pakistan,770,,,,770,770,3,24.1
16038,17666,Mali,Government of Mali,72,,CSP-PSD,8822,,3,Azawad,2023,164,159,224,3,Mali,432,,,,432,432,4,24.1
11447,10006,Ethiopia,Government of Ethiopia,97,,IGLF,1115,,1,Hararghe,1991,100,100,100,3,Ethiopia,530,,,,530,530,4,24.1
16069,17147,Ethiopia,Government of Ethiopia,97,,Fano,8118,,3,Amhara,2023,1222,1222,1845,3,Ethiopia,530,,,,530,530,4,24.1
205,406,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,2016,30,30,137,3,"Iran, Iraq",630,,,,630,"630, 645",2,24.1
205,406,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,2018,44,33,78,3,"Iran, Iraq",630,,,,630,"630, 645",2,24.1
205,406,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1990,31,31,335,3,Iran,630,,,,630,630,2,24.1
205,406,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1993,110,110,110,3,"Iran, Iraq",630,,,,630,"630, 645",2,24.1
205,406,Iran,Government of Iran,114,,KDPI,164,,1,Kurdistan,1996,27,27,29,3,"Iran, Iraq",630,,,,630,"630, 645",2,24.1
209,"412, 411",Philippines,Government of Philippines,154,,"Military faction (forces of Honasan, CPP, Abenina & Zumel)","169, 170",,2,,1989,822,801,885,3,Philippines,840,,,,840,840,3,24.1
209,"412, 411",Philippines,Government of Philippines,154,,"Military faction (forces of Honasan, CPP, Abenina & Zumel)","169, 170",,2,,1990,1175,1171,1193,3,Philippines,840,,,,840,840,3,24.1
209,411,Philippines,Government of Philippines,154,,CPP,169,,2,,1991,1514,1514,1933,3,Philippines,840,,,,840,840,3,24.1
209,411,Philippines,Government of Philippines,154,,CPP,169,,2,,1992,430,430,454,3,Philippines,840,,,,840,840,3,24.1
209,411,Philippines,Government of Philippines,154,,CPP,169,,2,,1993,99,99,114,3,Philippines,840,,,,840,840,3,24.1
209,411,Philippines,Government of Philippines,154,,CPP,169,,2,,1994,69,69,73,3,Philippines,840,,,,840,840,3,24.1
209,411,Philippines,Government of Philippines,154,,CPP,169,,2,,1995,36,36,41,3,Philippines,840,,,,840,840,3,24.1
209,411,Philippines,Government of Philippines,154,,CPP,169,,2,,1997,32,32,32,3,Philippines,840,,,,840,840,3,24.1
209,411,Philippines,Government of Philippines,154,,CPP,169,,2,,1999,93,93,98,3,Philippines,840,,,,840,840,3,24.1
209,411,Philippines,Government of Philippines,154,,CPP,169,,2,,2000,140,140,140,3,Philippines,840,,,,840,840,3,24.1
209,411,Philippines,Government of Philippines,154,,CPP,169,,2,,2001,142,138,287,3,Philippines,840,,,,840,840,3,24.1
209,411,Philippines,Government of Philippines,154,,CPP,169,,2,,2002,280,280,291,3,Philippines,840,,,,840,840,3,24.1
209,411,Philippines,Government of Philippines,154,,CPP,169,,2,,2003,231,227,236,3,Philippines,840,,,,840,840,3,24.1
209,411,Philippines,Government of Philippines,154,,CPP,169,,2,,2004,270,264,344,3,Philippines,840,,,,840,840,3,24.1
209,411,Philippines,Government of Philippines,154,,CPP,169,,2,,2005,234,222,243,3,Philippines,840,,,,840,840,3,24.1
